City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
198,Souillac,-20.5167,57.5167,66.58,88,40,17.27,MU,2022-07-18 21:33:24
199,Banda Aceh,5.5577,95.3222,78.78,79,24,10.07,ID,2022-07-18 21:39:40
200,Solnechnyy,50.7214,136.6319,56.3,99,100,5.68,RU,2022-07-18 21:29:01
201,Trat,12.5,102.5,82.9,92,99,1.83,TH,2022-07-18 21:39:40
202,Bubaque,11.2833,-15.8333,79.43,84,99,12.33,GW,2022-07-18 21:33:42
203,Karatau,43.1667,70.4667,73.9,41,0,3.53,KZ,2022-07-18 21:34:33
204,Saint George,37.1041,-113.5841,100.99,22,0,5.75,US,2022-07-18 21:29:19
205,Santa Rosa,14.3122,121.1114,79.09,90,100,2.51,PH,2022-07-18 21:39:41
206,Babu,24.4167,111.5167,77.97,96,100,2.8,CN,2022-07-18 21:39:41
207,Tasiilaq,65.6145,-37.6368,44.76,83,56,2.66,GL,2022-07-18 21:28:42
208,Otjimbingwe,-22.35,16.1333,60.01,29,0,6.17,NA,2022-07-18 21:39:41
209,Salinopolis,-0.6136,-47.3561,77.94,87,58,14.29,BR,2022-07-18 21:39:42
210,Abu Samrah,35.3029,37.1841,80.69,47,0,8.01,SY,2022-07-18 21:33:39
211,Santa Rita Do Sapucai,-22.2522,-45.7033,68.38,54,98,2.1,BR,2022-07-18 21:39:42
212,Havre-Saint-Pierre,50.2334,-63.5986,64.76,77,40,16.11,CA,2022-07-18 21:39:42
213,Verkhnyaya Inta,65.9811,60.3094,58.32,76,13,3.58,RU,2022-07-18 21:39:43
214,Mporokoso,-9.3727,30.125,59.9,56,40,7.49,ZM,2022-07-18 21:39:43
215,Jati,24.3539,68.2671,82.06,82,95,10.47,PK,2022-07-18 21:39:43
216,Biggar,55.6167,-3.5167,67.78,55,64,5.7,GB,2022-07-18 21:39:43
217,Taoudenni,22.6783,-3.9836,100.26,6,0,6.04,ML,2022-07-18 21:39:44
218,Nautla,20.2167,-96.7833,87.58,61,42,14.09,MX,2022-07-18 21:39:44
219,Tuatapere,-46.1333,167.6833,44.85,91,100,3.47,NZ,2022-07-18 21:33:01
220,Sitka,57.0531,-135.33,53.49,94,100,8.05,US,2022-07-18 21:30:40
221,Tocache,-8.1842,-76.5125,72.14,88,100,1.32,PE,2022-07-18 21:39:44
222,Umm Lajj,25.0213,37.2685,86.65,54,0,7.05,SA,2022-07-18 21:39:45
223,Puerto Plata,19.7934,-70.6884,89.51,70,40,17.27,DO,2022-07-18 21:37:14
224,Yulara,-25.2406,130.9889,48.16,29,0,7.18,AU,2022-07-18 21:32:16
225,Wewak,-3.5534,143.6268,78.6,84,97,3.09,PG,2022-07-18 21:39:45
226,Bethel,41.3712,-73.414,77.54,92,100,11.5,US,2022-07-18 21:33:19
227,Ilulissat,69.2167,-51.1,51.82,62,20,3.44,GL,2022-07-18 21:27:22
228,Saint-Augustin,51.226,-58.6502,69.26,63,86,12.57,CA,2022-07-18 21:32:48
229,Naryan-Mar,67.6713,53.087,59.56,77,47,8.57,RU,2022-07-18 21:38:16
230,Viperesti,45.2333,26.4667,65.25,44,38,4.9,RO,2022-07-18 21:39:51
231,Dikson,73.5069,80.5464,43.18,82,99,12.64,RU,2022-07-18 21:33:02
232,Gizo,-8.103,156.8419,82.58,68,77,5.79,SB,2022-07-18 21:39:51
233,Stanghelle,60.5528,5.7357,58.84,86,38,2.46,NO,2022-07-18 21:39:52
